id,pop,Region,sex,Date_sampled,TOTAL_LENGTH_mm,DUP,Full_sib,Half_sib,Parent_offspring
CLA002-M,Australia,E-IO,M,23/01/2012,840,NA,NA,NA,NA
CLA003-M,Australia,E-IO,M,23/01/2012,1060,NA,NA,NA,NA
CLA009,Australia,E-IO,F,26/08/2012,962,NA,NA,NA,NA
CLA010,Australia,E-IO,M,27/08/2012,930,NA,FS004,NA,NA
CLA011-M,Australia,E-IO,M,27/08/2012,810,NA,NA,HS004,NA
CLA012-M,Australia,E-IO,M,28/08/2012,878,NA,NA,NA,NA
CLA013-M,Australia,E-IO,M,28/08/2012,888,NA,NA,NA,NA
CLA014,Australia,E-IO,M,29/08/2012,995,NA,NA,NA,NA
CLA015-M,Australia,E-IO,M,28/08/2012,885,NA,NA,NA,NA
CLA016-M,Australia,E-IO,M,28/08/2012,800,NA,NA,NA,NA
CLA017,Australia,E-IO,F,29/08/2012,845,NA,NA,NA,NA
CLA018-F,Australia,E-IO,F,29/08/2012,885,NA,NA,NA,NA
CLA019-F,Australia,E-IO,F,29/08/2012,960,NA,NA,NA,NA
CLA021-M,Australia,E-IO,M,29/08/2012,815,NA,NA,NA,NA
CLA022,Australia,E-IO,F,29/08/2012,795,NA,NA,NA,NA
CLA023-F,Australia,E-IO,F,29/08/2012,1010,NA,NA,NA,NA
CLA024-F,Australia,E-IO,F,29/08/2012,1050,NA,NA,NA,NA
CLA025-M,Australia,E-IO,M,29/08/2012,810,NA,NA,NA,NA
CLA026-F,Australia,E-IO,F,29/08/2012,910,NA,NA,NA,NA
CLA027-F,Australia,E-IO,F,29/08/2012,870,NA,NA,NA,NA
CLA028,Australia,E-IO,F,29/08/2012,1065,NA,NA,HS005,NA
CLA029-F,Australia,E-IO,F,29/08/2012,835,NA,FS005,NA,NA
CLA030-F,Australia,E-IO,F,29/08/2012,940,NA,NA,NA,NA
CLA031-M,Australia,E-IO,M,29/08/2012,755,NA,NA,NA,NA
CLA032-M,Australia,E-IO,M,29/08/2012,1170,NA,NA,NA,NA
CLA033-F,Australia,E-IO,F,29/08/2012,935,NA,NA,HS006,NA
CLA034-M,Australia,E-IO,M,29/08/2012,758,NA,NA,NA,NA
CLA035-F,Australia,E-IO,F,29/08/2012,822,NA,NA,NA,NA
CLA036-M,Australia,E-IO,M,29/08/2012,942,NA,NA,NA,NA
CLA037-M,Australia,E-IO,M,29/08/2012,845,NA,NA,NA,NA
CLA038,Australia,E-IO,M,29/08/2012,1000,NA,NA,HS006,NA
CLA039-F,Australia,E-IO,F,29/08/2012,1140,NA,NA,NA,NA
CLA040-F,Australia,E-IO,F,29/08/2012,825,NA,NA,NA,NA
CLA042-F,Australia,E-IO,F,21/02/2013,850,NA,NA,NA,NA
CLA043-F,Australia,E-IO,F,21/02/2013,948,NA,NA,NA,NA
CLA044,Australia,E-IO,F,21/02/2013,990,NA,FS004,NA,NA
CLA045-F,Australia,E-IO,F,22/02/2013,1025,NA,NA,NA,NA
CLA046,Australia,E-IO,F,20/03/2013,815,NA,NA,NA,NA
CLA047-M,Australia,E-IO,M,20/03/2013,842,NA,FS016,HS008,NA
CLA048-M,Australia,E-IO,M,20/03/2013,775,NA,NA,NA,NA
CLA049-F,Australia,E-IO,F,20/03/2013,755,NA,NA,NA,NA
CLA050-M,Australia,E-IO,M,20/03/2013,860,NA,NA,NA,NA
CLA051-F,Australia,E-IO,F,20/03/2013,855,NA,NA,NA,NA
CLA052-F,Australia,E-IO,F,20/03/2013,722,NA,NA,HS009,NA
CLA053,Australia,E-IO,F,20/03/2013,860,NA,FS016,NA,NA
CLA054-F,Australia,E-IO,F,21/03/2013,815,NA,NA,NA,NA
CLA055-M,Australia,E-IO,M,21/03/2013,845,NA,NA,HS010,NA
CLA056-M,Australia,E-IO,M,21/03/2013,825,NA,NA,NA,NA
CLA057-M,Australia,E-IO,M,21/03/2013,925,NA,NA,NA,NA
CLA058-F,Australia,E-IO,F,21/03/2013,1395,NA,NA,NA,NA
CLA059-F,Australia,E-IO,F,22/03/2013,1300,NA,NA,NA,NA
CLA060-M,Australia,E-IO,M,18/04/2013,850,NA,NA,NA,NA
CLA061-M,Australia,E-IO,M,19/04/2013,860,NA,NA,NA,NA
CLA062-M,Australia,E-IO,M,19/04/2013,875,NA,NA,HS010,NA
CLA063,Australia,E-IO,M,20/04/2013,815,NA,NA,NA,NA
CLA064-M,Australia,E-IO,M,17/06/2013,890,NA,NA,NA,NA
CLA065-M,Australia,E-IO,M,3/07/2013,1105,NA,NA,NA,NA
CLA066,Australia,E-IO,M,3/07/2013,1175,NA,NA,NA,NA
CLA067-M,Australia,E-IO,M,3/07/2013,1240,NA,NA,NA,NA
CLA068,Australia,E-IO,F,3/07/2013,1280,NA,NA,NA,NA
CLA070-M,Australia,E-IO,M,18/07/2013,1075,NA,NA,NA,NA
CLA072-F,Australia,E-IO,F,16/08/2013,960,NA,NA,NA,NA
CLA073,Australia,E-IO,M,16/08/2013,995,NA,NA,NA,NA
CLA077-F,Australia,E-IO,F,15/09/2013,1050,NA,NA,NA,NA
CLA078,Australia,E-IO,M,28/09/2013,1215,NA,NA,HS008,NA
CLA079-F,Australia,E-IO,F,28/09/2013,1085,NA,NA,NA,NA
CLA080-M,Australia,E-IO,M,28/09/2013,1000,NA,NA,NA,NA
CLA081-M,Australia,E-IO,M,28/09/2013,870,NA,NA,NA,NA
CLA082,Australia,E-IO,M,28/09/2013,1130,NA,NA,NA,NA
CLA083-F,Australia,E-IO,F,29/09/2013,910,NA,NA,HS011,NA
CLA084,Australia,E-IO,F,29/09/2013,1010,NA,FS005,NA,NA
CLA085,Australia,E-IO,M,30/09/2013,1060,NA,NA,NA,NA
CLA086-M,Australia,E-IO,M,1/10/2013,1110,NA,NA,NA,NA
CLA087-M,Australia,E-IO,M,1/10/2013,1070,NA,NA,NA,NA
CLA088-F,Australia,E-IO,F,1/10/2013,1140,NA,NA,NA,NA
CLA089,Australia,E-IO,F,1/10/2013,1195,NA,NA,NA,NA
CLA090-M,Australia,E-IO,M,1/10/2013,1150,NA,NA,NA,NA
CLA091-M,Australia,E-IO,M,1/10/2013,960,NA,NA,NA,NA
CLA092-F,Australia,E-IO,F,1/10/2013,1050,NA,NA,NA,NA
CLA093-M,Australia,E-IO,M,2/10/2013,1180,NA,NA,NA,NA
CLA094-M,Australia,E-IO,M,2/10/2013,1070,NA,NA,HS011,NA
CLA095-F,Australia,E-IO,F,2/10/2013,1320,NA,NA,NA,NA
CLA096-M,Australia,E-IO,M,2/10/2013,1000,NA,NA,NA,NA
CLA097-M,Australia,E-IO,M,3/10/2013,1070,NA,NA,NA,NA
CLA098-M,Australia,E-IO,M,14/10/2013,965,NA,NA,NA,NA
CLA099-F,Australia,E-IO,F,14/10/2013,910,NA,NA,NA,NA
CLA100-M,Australia,E-IO,M,11/11/2013,725,NA,NA,NA,NA
CLA101-F,Australia,E-IO,F,12/12/2013,745,NA,NA,NA,NA
CLA102-M,Australia,E-IO,M,12/12/2013,750,NA,NA,HS004,NA
CLA103-F,Australia,E-IO,F,12/12/2013,750,NA,NA,NA,NA
CLA104-M,Australia,E-IO,M,12/12/2013,725,NA,NA,NA,NA
CLA105-M,Australia,E-IO,M,12/12/2013,743,NA,NA,NA,NA
CLA106,Australia,E-IO,F,12/12/2013,820,NA,NA,NA,NA
CLA107-F,Australia,E-IO,F,12/12/2013,840,NA,FS006,NA,NA
CLA108-M,Australia,E-IO,M,12/12/2013,724,NA,NA,NA,NA
CLA109-F,Australia,E-IO,F,12/12/2013,750,NA,NA,NA,NA
CLA110-F,Australia,E-IO,F,12/12/2013,760,NA,NA,NA,NA
CLA111-M,Australia,E-IO,M,9/01/2014,820,NA,NA,NA,NA
CLA112-F,Australia,E-IO,F,9/01/2014,820,NA,FS007,NA,NA
CLA113-F,Australia,E-IO,F,9/01/2014,780,NA,NA,HS023,NA
CLA114-M,Australia,E-IO,M,9/01/2014,810,NA,NA,NA,NA
CLA115-M,Australia,E-IO,M,9/01/2014,775,NA,NA,NA,NA
CLA116-F,Australia,E-IO,F,9/01/2014,745,NA,NA,NA,NA
CLA117-F,Australia,E-IO,F,9/01/2014,755,NA,NA,NA,NA
CLA118-F,Australia,E-IO,F,9/01/2014,825,NA,FS006,NA,NA
CLA119-F,Australia,E-IO,F,9/01/2014,750,NA,NA,NA,NA
CLA120-M,Australia,E-IO,M,9/01/2014,815,NA,NA,NA,NA
CLA121,Australia,E-IO,M,9/01/2014,800,NA,NA,NA,NA
CLA122,Australia,E-IO,M,9/01/2014,695,NA,NA,HS012,NA
CLA123-M,Australia,E-IO,M,9/01/2014,785,NA,FS008,NA,NA
CLA124-M,Australia,E-IO,M,9/01/2014,750,NA,NA,NA,NA
CLA125-F,Australia,E-IO,F,9/01/2014,760,NA,NA,HS013,NA
CLA126-M,Australia,E-IO,M,9/01/2014,740,NA,NA,HS013,NA
CLA127-F,Australia,E-IO,F,10/01/2014,825,NA,FS007,NA,NA
CLA128-F,Australia,E-IO,F,9/02/2014,735,NA,NA,HS024,NA
CLA129,Australia,E-IO,F,9/02/2014,845,NA,NA,NA,NA
CLA130-F,Australia,E-IO,F,9/02/2014,815,NA,NA,NA,NA
CLA131-F,Australia,E-IO,F,9/02/2014,775,NA,NA,NA,NA
CLA132-F,Australia,E-IO,F,9/02/2014,815,NA,NA,NA,NA
CLA133-F,Australia,E-IO,F,10/02/2014,805,NA,NA,NA,NA
CLA134-M,Australia,E-IO,M,27/04/2014,1245,NA,NA,HS023,NA
CLA135,Australia,E-IO,M,27/04/2014,770,NA,NA,NA,NA
CLA136-F,Australia,E-IO,F,27/04/2014,785,NA,NA,NA,NA
CLA137-M,Australia,E-IO,M,5/05/2014,830,NA,NA,NA,NA
CLA138-M,Australia,E-IO,M,5/05/2014,965,NA,NA,HS012,NA
CLA139-F,Australia,E-IO,F,5/05/2014,860,NA,NA,NA,NA
CLA140-F,Australia,E-IO,F,5/05/2014,885,NA,NA,NA,NA
CLA142-M,Australia,E-IO,M,9/05/2014,810,NA,NA,NA,NA
CLA143,Australia,E-IO,M,9/05/2014,860,NA,FS008,NA,NA
CLA145,Australia,E-IO,F,7/09/2014,915,NA,NA,NA,NA
CLA146-F,Australia,E-IO,F,7/09/2014,850,NA,NA,NA,NA
CLA147-M,Australia,E-IO,M,10/09/2014,910,NA,NA,NA,NA
CL-ARS001-F,Arabian Sea,N-IO,F,4/10/2011,3290,NA,NA,NA,NA
CL-ARS002-M,Arabian Sea,N-IO,M,28/03/2012,3099,NA,NA,NA,NA
CL-ARS004-F,Arabian Sea,N-IO,F,2/03/2011,730,NA,NA,NA,NA
CL-ARS005-F,Arabian Sea,N-IO,F,18/02/2011,3314,NA,NA,NA,NA
CL-ARS010-F,Arabian Sea,N-IO,F,21/01/2011,815,NA,NA,NA,NA
CL-ARS011-M,Arabian Sea,N-IO,M,21/01/2011,770,NA,NA,NA,NA
CL-ARS012-F,Arabian Sea,N-IO,F,12/02/2011,3060,NA,NA,NA,NA
CL-ARS019-M,Arabian Sea,N-IO,M,10/03/2011,1388,NA,NA,NA,NA
CL-ARS020-F,Arabian Sea,N-IO,F,21/03/2011,3099,NA,NA,NA,NA
CL-ARS021-F,Arabian Sea,N-IO,F,21/03/2011,2986,NA,NA,NA,NA
CL-ARS022-M,Arabian Sea,N-IO,M,29/04/2011,3066,NA,NA,NA,NA
CL-ARS024-M,Arabian Sea,N-IO,M,28/05/2011,835,NA,NA,NA,NA
CL-ARS027-F,Arabian Sea,N-IO,F,17/10/2010,4060,NA,NA,NA,NA
CL-ARS028-M,Arabian Sea,N-IO,M,29/10/2010,3090,NA,NA,NA,NA
CL-ARS029-M,Arabian Sea,N-IO,M,29/10/2010,3290,NA,NA,NA,NA
CL-ARS030-M,Arabian Sea,N-IO,M,29/10/2010,2995,NA,NA,NA,NA
CL-ARS033-M,Arabian Sea,N-IO,M,5/11/2010,1100,NA,NA,NA,NA
CL-ARS034-F,Arabian Sea,N-IO,F,19/11/2010,3635,NA,NA,NA,NA
CL-ARS035-F,Arabian Sea,N-IO,F,17/12/2010,1710,NA,NA,NA,NA
CL-ARS036-F,Arabian Sea,N-IO,F,23/12/2010,3190,NA,NA,NA,NA
CL-ARS037-F,Arabian Sea,N-IO,F,23/12/2010,3034,NA,NA,NA,NA
CL-ARS038-F,Arabian Sea,N-IO,F,7/01/2011,3410,NA,NA,NA,NA
CLBM001-M,Australia,E-IO,M,7/09/2007,1005,NA,NA,NA,NA
CLBM002,Australia,E-IO,M,10/09/2007,1025,NA,NA,NA,NA
CLBM003,Australia,E-IO,F,10/09/2007,1010,NA,NA,NA,NA
CLBM004-M,Australia,E-IO,M,10/09/2007,1020,NA,FS009,NA,NA
CLBM005-M,Australia,E-IO,M,10/09/2007,1010,NA,NA,NA,NA
CLBM007,Australia,E-IO,M,11/09/2007,970,NA,FS009,NA,NA
CLBM008-M,Australia,E-IO,M,11/09/2007,910,NA,NA,NA,NA
CLBM009-F,Australia,E-IO,F,11/09/2007,1030,NA,FS010,NA,NA
CLBM011,Australia,E-IO,F,11/09/2007,995,NA,NA,NA,NA
CLBM015-F,Australia,E-IO,F,15/09/2007,940,NA,NA,NA,NA
CLBM016-F,Australia,E-IO,F,30/09/2007,860,NA,NA,NA,NA
CLBM017,Australia,E-IO,M,6/09/2007,1045,NA,NA,NA,NA
CLBM018,Australia,E-IO,F,13/09/2007,1020,NA,FS010,NA,NA
CLBM019-M,Australia,E-IO,M,6/09/2007,1040,NA,NA,NA,NA
CL-BRZ001-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ002-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ003-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ004-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ005-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ006-U,Brazil,W-ATL,U,2003-2005,NA,DUP006,NA,NA,NA
CL-BRZ007-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ008-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ009-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ010-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ011-U,Brazil,W-ATL,U,2003-2005,NA,NA,FSP017,NA,NA
CL-BRZ012-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ013-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ014-U,Brazil,W-ATL,U,2003-2005,NA,DUP007,NA,NA,NA
CL-BRZ015-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ016-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ017-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ018-U,Brazil,W-ATL,U,2003-2005,NA,DUP008,NA,NA,NA
CL-BRZ019-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ020-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ021-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ022-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ023-U,Brazil,W-ATL,U,2003-2005,NA,NA,FSP018,NA,NA
CL-BRZ024-U,Brazil,W-ATL,U,2003-2005,NA,DUP007,NA,NA,NA
CL-BRZ025-U,Brazil,W-ATL,U,2003-2005,NA,NA,FSP018,NA,NA
CL-BRZ026-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ027-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ028-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ029-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ030-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ031-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ032-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ033-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ035-U,Brazil,W-ATL,U,2003-2005,NA,DUP008,NA,NA,NA
CL-BRZ036-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ037-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ038-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ039-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ041-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ042-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ044-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ045-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ047-U,Brazil,W-ATL,U,2003-2005,NA,DUP009,NA,NA,NA
CL-BRZ048-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ049-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ050-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ051-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ052-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ053-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ054-U,Brazil,W-ATL,U,2003-2005,NA,DUP009,NA,NA,NA
CL-BRZ055-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ056-U,Brazil,W-ATL,U,2003-2005,NA,DUP006,NA,NA,NA
CL-BRZ057-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ058-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ059-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ060-U,Brazil,W-ATL,U,2003-2005,NA,NA,FSP017,NA,NA
CL-BRZ061-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-BRZ062-U,Brazil,W-ATL,U,2003-2005,NA,NA,NA,NA,NA
CL-CAR001-M,Caribbean Sea,W-ATL,M,31/07/1985,2180,NA,NA,NA,NA
CL-CAR002-M,Caribbean Sea,W-ATL,M,19/05/2012,1956,NA,NA,NA,NA
CL-CLA020-F,Australia,E-IO,F,29/08/2012,920,NA,NA,NA,NA
CL-CLA071-M,Australia,E-IO,M,18/07/2013,895,NA,FS016,NA,NA
CL-CLA141-F,Australia,E-IO,F,9/05/2014,790,NA,NA,NA,NA
CL-CLBM006-M,Australia,E-IO,M,10/09/2007,990,NA,NA,NA,NA
CL-CLBM012-F,Australia,E-IO,F,11/09/2007,995,NA,NA,NA,NA
CL-CLBM013-F,Australia,E-IO,F,15/09/2007,1075,NA,NA,NA,NA
CL-CLBM014-F,Australia,E-IO,F,16/09/2007,970,NA,NA,NA,NA
CL-CLCR008-M,Australia,W-PAC,M,14/11/2010,830,NA,NA,HS014,NA
CL-CLCR026-M,Australia,W-PAC,M,28/11/2010,830,NA,NA,NA,NA
CL-CLCR028-F,Australia,W-PAC,F,28/11/2010,775,NA,NA,NA,NA
CL-CLCR038-M,Australia,W-PAC,M,6/02/2011,830,NA,NA,NA,NA
CL-CLCR043-F,Australia,W-PAC,F,6/02/2011,870,NA,NA,NA,NA
CL-CLCR054-F,Australia,W-PAC,F,6/02/2011,830,NA,NA,NA,NA
CL-CLCR111-F,Australia,W-PAC,F,13/12/2010,2840,NA,NA,NA,NA
CL-CLCR116-F,Australia,W-PAC,F,2/03/2011,1810,NA,NA,NA,NA
CL-CLD011-M,Australia,E-IO,M,30/09/2012,820,NA,NA,NA,NA
CL-CLD020-F,Australia,E-IO,F,3/10/2012,905,NA,NA,NA,NA
CL-CLD031-M,Australia,E-IO,M,4/10/2012,890,NA,NA,NA,NA
CL-CLD039-F,Australia,E-IO,F,29/10/2013,810,NA,NA,NA,NA
CL-CLF014-M,Australia,E-IO,M,3/11/2002,1212,NA,NA,NA,NA
CL-CLL004-M,Australia,E-IO,M,2/05/2013,790,NA,NA,NA,NA
CL-CLL014-F,Australia,E-IO,F,21/12/2013,720,NA,NA,HS017,NA
CL-CLR003-F,Australia,E-IO,F,27/07/2002,820,NA,NA,NA,NA
CL-CLSH001-M,Australia,W-PAC,M,4/03/2009,2820,NA,NA,NA,NA
CL-CLSH042-M,Australia,W-PAC,M,7/03/2016,2740,NA,NA,NA,NA
CL-CLSH045-M,Australia,W-PAC,M,20/02/2017,2610,NA,NA,NA,NA
CL-CLSH046-M,Australia,W-PAC,M,21/02/2017,2200,NA,NA,NA,NA
CL-CLSH052-F,Australia,W-PAC,F,18/01/2018,2950,NA,NA,NA,NA
CL-CLSH054-F,Australia,W-PAC,F,29/01/2018,2650,NA,NA,NA,NA
CL-CLSH066-M,Australia,W-PAC,M,12/02/2019,2810,NA,NA,NA,NA
CL-CLSH070-M,Australia,W-PAC,M,19/03/2019,2510,NA,NA,NA,NA
CL-CLTI001-F,Australia,W-PAC,F,1/01/2004,854,NA,NA,NA,NA
CL-CLTI003-F,Australia,W-PAC,F,1/01/2004,970,NA,NA,NA,NA
CL-CLTI005-F,Australia,W-PAC,F,1/01/2004,895,NA,NA,NA,NA
CL-CLTO011-F,Australia,E-IO,F,30/07/2002,1173,NA,NA,NA,NA
CL-CLW002-U,Australia,E-IO,U,NA,NA,NA,NA,NA,NA
CL-CLW003-U,Australia,E-IO,U,NA,NA,NA,NA,NA,NA
CL-CLW005-M,Australia,E-IO,M,NA,NA,NA,NA,NA,NA
CL-CLW009-F,Australia,E-IO,F,NA,NA,NA,NA,NA,NA
CL-CLW010-M,Australia,E-IO,M,NA,NA,NA,NA,NA,NA
CL-COR001-F,Costa Rica,E-PAC,F,7/05/2017,NA,NA,NA,NA,NA
CL-COR002-F,Costa Rica,E-PAC,F,7/05/2017,NA,NA,NA,NA,NA
CL-COR018-U,Costa Rica,E-PAC,M,13/07/2017,920,NA,NA,NA,NA
CL-COR019-U,Costa Rica,E-PAC,F,13/07/2017,910,NA,NA,NA,NA
CL-COR020-U,Costa Rica,E-PAC,F,13/07/2017,920,NA,NA,NA,NA
CL-COR021-U,Costa Rica,E-PAC,F,5/01/2018,1200,NA,NA,NA,NA
CL-COR022-U,Costa Rica,E-PAC,F,13/07/2017,920,NA,NA,NA,NA
CL-COR023-U,Costa Rica,E-PAC,M,20/01/2018,840,NA,NA,NA,NA
CL-COR024-U,Costa Rica,E-PAC,F,21/01/2018,810,NA,NA,NA,NA
CL-COR025-U,Costa Rica,E-PAC,F,13/07/2017,920,NA,NA,NA,NA
CL-COR026-U,Costa Rica,E-PAC,M,11/10/2018,960,NA,NA,NA,NA
CL-COR027-U,Costa Rica,E-PAC,F,29/06/2018,980,NA,NA,NA,NA
CL-COR028-U,Costa Rica,E-PAC,M,29/06/2018,940,NA,NA,NA,NA
CL-COR029-U,Costa Rica,E-PAC,M,29/06/2018,830,NA,NA,NA,NA
CL-COR030-U,Costa Rica,E-PAC,M,29/06/2018,942,NA,NA,NA,NA
CL-COR031-U,Costa Rica,E-PAC,M,29/06/2018,852,NA,NA,NA,NA
CL-COR032-U,Costa Rica,E-PAC,F,29/06/2018,890,NA,NA,NA,NA
CLCR001-F,Australia,W-PAC,F,5/07/2010,875,NA,NA,NA,NA
